Time,Dimensions
0.000047,1024
0.000103,1025
0.000094,1026
0.000100,1027
0.000088,1028
0.000087,1029
0.000091,1030
0.000085,1031
0.000139,1032
0.000071,1033
0.000090,1034
0.000089,1035
0.000088,1036
0.000077,1037
0.000228,1038
0.000085,1039
0.000056,1040
0.000054,1041
0.000088,1042
0.000066,1043
0.000081,1044
0.000045,1045
0.000099,1046
0.000058,1047
0.000115,1048
0.000058,1049
0.000066,1050
0.000065,1051
0.000058,1052
0.000053,1053
0.000054,1054
0.000053,1055
0.000057,1056
0.000053,1057
0.000059,1058
0.000056,1059
0.000074,1060
0.000089,1061
0.000070,1062
0.000096,1063
0.000092,1064
0.000099,1065
0.000056,1066
0.000099,1067
0.000200,1068
0.000841,1069
0.000064,1070
0.000091,1071
0.000081,1072
0.000095,1073
0.000090,1074
0.000089,1075
0.000078,1076
0.000090,1077
0.000073,1078
0.000065,1079
0.000092,1080
0.000089,1081
0.000055,1082
0.000072,1083
0.000074,1084
0.000091,1085
0.000085,1086
0.000125,1087
0.000094,1088
0.000048,1089
0.000081,1090
0.000100,1091
0.000092,1092
0.000048,1093
0.000212,1094
0.000101,1095
0.000089,1096
0.000090,1097
0.000067,1098
0.000084,1099
0.000079,1100
0.000091,1101
0.000090,1102
0.000090,1103
0.000092,1104
0.000056,1105
0.000091,1106
0.000092,1107
0.000092,1108
0.000074,1109
0.000088,1110
0.000067,1111
0.000062,1112
0.000064,1113
0.000080,1114
0.000081,1115
0.000176,1116
0.000076,1117
0.000169,1118
0.000082,1119
0.000166,1120
0.000058,1121
0.000057,1122
0.000054,1123
0.000049,1124
0.000090,1125
0.000088,1126
0.000091,1127
0.000085,1128
0.000054,1129
0.000053,1130
0.000054,1131
0.000056,1132
0.000056,1133
0.000059,1134
0.000053,1135
0.000125,1136
0.000058,1137
0.000108,1138
0.000086,1139
0.000057,1140
0.000060,1141
0.000064,1142
0.000071,1143
0.000084,1144
0.000089,1145
0.000085,1146
0.000093,1147
0.000096,1148
0.000072,1149
0.000086,1150
0.000230,1151
0.000095,1152
0.000087,1153
0.000083,1154
0.000090,1155
0.000090,1156
0.000089,1157
0.000097,1158
0.000094,1159
0.000081,1160
0.000086,1161
0.000142,1162
0.000085,1163
0.000145,1164
0.000132,1165
0.000097,1166
0.000103,1167
0.000057,1168
0.000122,1169
0.000057,1170
0.000057,1171
0.000054,1172
0.000056,1173
0.000055,1174
0.000053,1175
0.000054,1176
0.000053,1177
0.000113,1178
0.000046,1179
0.000064,1180
0.000053,1181
0.000061,1182
0.000069,1183
0.000056,1184
0.000055,1185
0.000079,1186
0.000090,1187
0.000045,1188
0.000088,1189
0.000121,1190
0.000092,1191
0.000084,1192
0.000093,1193
0.000054,1194
0.000054,1195
0.000054,1196
0.000053,1197
0.000051,1198
0.000055,1199
0.000051,1200
0.000126,1201
0.000077,1202
0.000054,1203
0.000056,1204
0.000053,1205
0.000054,1206
0.000055,1207
0.000125,1208
0.000130,1209
0.000057,1210
0.000065,1211
0.000061,1212
0.000097,1213
0.000085,1214
0.000109,1215
0.000079,1216
0.000071,1217
0.000057,1218
0.000054,1219
0.000055,1220
0.000081,1221
0.000054,1222
0.000066,1223
0.000058,1224
0.000054,1225
0.000093,1226
0.000127,1227
