Time,Dimensions
0.767264,1024
0.687801,1025
0.685416,1026
0.600697,1027
0.588735,1028
0.458734,1029
0.492796,1030
0.443826,1031
0.544733,1032
0.610111,1033
0.443211,1034
0.419764,1035
0.485220,1036
0.600822,1037
0.515860,1038
0.891418,1039
0.548854,1040
0.409909,1041
0.483719,1042
0.596712,1043
2.730126,1044
0.707422,1045
0.824069,1046
0.759823,1047
0.606355,1048
0.535318,1049
0.405627,1050
0.418775,1051
0.582874,1052
0.428715,1053
0.501916,1054
0.554332,1055
0.441620,1056
0.400176,1057
0.494696,1058
0.454169,1059
0.626292,1060
0.506947,1061
0.607376,1062
0.774770,1063
0.590825,1064
0.764272,1065
0.696762,1066
0.686982,1067
0.643109,1068
0.853001,1069
0.703338,1070
0.420141,1071
0.502766,1072
0.766241,1073
0.528405,1074
0.556696,1075
0.751318,1076
0.468442,1077
0.583992,1078
0.451395,1079
0.588403,1080
0.482357,1081
0.594543,1082
0.513400,1083
0.479672,1084
0.541739,1085
0.464260,1086
0.579149,1087
0.528087,1088
0.537695,1089
0.531826,1090
0.600583,1091
0.504792,1092
0.675660,1093
0.499977,1094
0.541317,1095
0.630572,1096
0.480653,1097
0.430141,1098
0.511105,1099
0.511031,1100
0.535550,1101
0.565290,1102
0.489033,1103
0.592322,1104
0.492300,1105
0.512669,1106
0.610080,1107
0.495135,1108
0.493717,1109
0.575715,1110
0.761426,1111
0.565346,1112
0.490093,1113
0.729358,1114
0.565627,1115
0.587341,1116
0.561799,1117
0.576631,1118
0.523165,1119
0.498845,1120
0.494659,1121
0.523004,1122
0.504783,1123
0.483200,1124
0.506417,1125
0.612801,1126
0.577676,1127
0.503637,1128
0.602099,1129
0.563228,1130
0.521588,1131
0.523011,1132
0.551284,1133
0.469784,1134
0.568407,1135
0.683446,1136
0.496974,1137
0.726159,1138
0.552141,1139
0.555505,1140
0.722111,1141
0.606011,1142
0.514732,1143
0.565734,1144
0.751935,1145
0.581232,1146
0.536995,1147
0.615768,1148
