Time,Dimensions
0.112271,1024
0.067193,1025
0.064064,1026
0.063893,1027
0.073896,1028
0.064532,1029
0.063193,1030
0.065228,1031
0.065400,1032
0.062240,1033
0.061672,1034
0.057505,1035
0.058442,1036
0.057132,1037
0.057952,1038
0.059611,1039
0.060020,1040
0.062025,1041
0.060779,1042
0.061674,1043
0.077827,1044
0.071451,1045
0.065588,1046
0.082090,1047
0.145950,1048
0.137391,1049
0.142271,1050
0.141490,1051
0.141538,1052
0.147115,1053
0.132977,1054
0.146211,1055
0.148704,1056
0.145117,1057
0.145665,1058
0.619781,1059
0.144931,1060
0.145230,1061
0.146314,1062
0.146299,1063
0.147067,1064
0.147683,1065
0.148684,1066
0.629622,1067
0.143738,1068
0.146035,1069
0.145314,1070
0.147837,1071
0.150009,1072
0.148165,1073
0.148120,1074
0.148790,1075
0.150522,1076
0.176356,1077
0.150908,1078
0.431026,1079
0.152284,1080
0.151951,1081
0.151496,1082
0.149887,1083
0.149221,1084
0.149274,1085
0.150311,1086
0.153994,1087
0.154159,1088
0.155759,1089
0.153587,1090
0.154660,1091
0.672687,1092
0.291965,1093
0.155126,1094
0.159352,1095
0.430653,1096
0.156743,1097
0.155811,1098
0.154740,1099
0.155162,1100
0.156198,1101
0.156627,1102
0.157735,1103
0.157732,1104
0.157929,1105
0.157539,1106
0.158035,1107
0.159065,1108
0.523080,1109
0.158797,1110
0.162726,1111
0.163763,1112
0.163221,1113
0.162923,1114
0.159160,1115
0.159607,1116
0.159539,1117
0.160058,1118
0.161080,1119
0.162343,1120
0.162566,1121
0.162304,1122
0.162231,1123
0.164873,1124
0.161341,1125
0.499687,1126
0.228085,1127
0.164593,1128
0.163811,1129
0.158631,1130
0.517031,1131
0.164134,1132
0.163553,1133
0.164307,1134
0.166012,1135
0.167770,1136
0.168115,1137
0.167775,1138
0.167763,1139
0.168399,1140
0.407170,1141
0.180604,1142
0.167857,1143
0.181363,1144
0.169595,1145
0.169678,1146
0.504542,1147
0.173253,1148
0.172527,1149
0.172610,1150
0.493607,1151
0.172756,1152
0.171978,1153
0.171215,1154
0.174778,1155
