Time,Dimensions
0.077105,1024
0.054174,1025
0.065433,1026
0.060157,1027
0.055666,1028
0.053620,1029
0.053353,1030
0.054435,1031
0.056346,1032
0.058863,1033
0.151919,1034
0.142891,1035
0.145511,1036
0.127585,1037
0.127350,1038
0.133371,1039
0.147441,1040
0.141187,1041
0.153773,1042
0.148797,1043
0.151428,1044
0.147806,1045
0.150345,1046
0.150180,1047
0.151319,1048
0.150070,1049
0.151170,1050
0.149720,1051
0.150237,1052
0.150022,1053
0.150704,1054
0.152032,1055
0.147820,1056
0.151187,1057
0.149504,1058
0.137772,1059
0.146804,1060
0.149686,1061
0.141695,1062
0.156755,1063
0.150853,1064
0.072970,1065
0.159381,1066
0.155546,1067
0.133155,1068
0.159238,1069
0.148684,1070
0.158461,1071
0.154881,1072
0.148893,1073
0.135412,1074
0.157719,1075
0.157159,1076
0.158682,1077
0.159624,1078
0.159379,1079
0.159480,1080
0.159222,1081
0.160090,1082
0.158268,1083
0.158154,1084
0.159581,1085
0.262759,1086
0.162065,1087
0.163074,1088
0.163825,1089
0.162731,1090
0.163252,1091
0.164801,1092
0.162512,1093
0.060297,1094
0.059501,1095
0.059663,1096
0.064560,1097
0.060742,1098
0.060754,1099
0.062663,1100
0.065244,1101
0.062760,1102
0.061136,1103
0.064814,1104
0.063086,1105
0.060386,1106
0.061898,1107
0.060982,1108
0.066893,1109
0.062758,1110
0.069814,1111
0.065936,1112
0.063786,1113
0.064610,1114
0.059684,1115
0.059485,1116
0.060122,1117
0.065059,1118
0.061396,1119
0.063005,1120
0.063039,1121
0.063713,1122
0.062957,1123
0.063043,1124
0.063302,1125
0.063281,1126
0.064591,1127
0.066408,1128
0.065206,1129
0.064761,1130
0.337786,1131
0.173371,1132
0.173527,1133
0.174323,1134
0.176548,1135
0.174819,1136
0.178228,1137
0.180017,1138
0.177988,1139
0.178163,1140
0.178519,1141
0.065500,1142
0.064237,1143
0.069278,1144
0.065353,1145
0.065700,1146
0.065967,1147
0.066109,1148
0.142654,1149
0.181265,1150
0.180599,1151
0.181587,1152
0.181816,1153
0.181805,1154
0.183232,1155
0.184351,1156
0.183878,1157
0.184852,1158
0.183801,1159
0.185625,1160
0.070980,1161
0.069190,1162
0.065481,1163
0.065763,1164
0.065610,1165
0.068691,1166
0.072880,1167
0.073620,1168
0.072026,1169
0.074271,1170
0.068376,1171
0.069012,1172
0.068514,1173
0.068912,1174
0.068215,1175
0.074149,1176
0.071024,1177
0.070023,1178
0.067931,1179
0.067164,1180
0.067223,1181
0.067346,1182
0.071207,1183
0.072148,1184
0.071262,1185
0.074411,1186
0.077633,1187
0.069807,1188
0.070482,1189
0.076601,1190
0.079734,1191
0.080727,1192
0.077074,1193
0.077818,1194
0.068658,1195
0.069352,1196
0.072660,1197
0.069265,1198
0.072577,1199
0.072526,1200
0.072728,1201
0.074143,1202
0.073363,1203
0.075080,1204
0.072447,1205
0.075492,1206
0.072924,1207
0.073604,1208
0.076647,1209
0.073313,1210
0.071295,1211
0.070923,1212
0.071441,1213
0.071971,1214
0.074555,1215
0.076455,1216
0.075149,1217
0.076285,1218
0.074029,1219
0.074630,1220
0.075779,1221
0.075320,1222
0.082741,1223
0.083404,1224
0.083744,1225
0.083953,1226
0.073331,1227
0.072975,1228
0.074893,1229
0.073437,1230
0.077510,1231
0.077894,1232
0.078611,1233
0.075611,1234
0.079726,1235
0.078565,1236
0.081260,1237
0.077450,1238
0.081756,1239
0.080959,1240
0.080926,1241
0.080299,1242
0.077205,1243
0.075065,1244
0.078553,1245
0.075140,1246
0.084498,1247
0.086032,1248
0.085046,1249
0.098739,1250
0.078854,1251
0.082039,1252
0.078056,1253
0.078182,1254
0.140295,1255
0.222964,1256
0.220233,1257
0.221308,1258
0.424892,1259
0.216277,1260
0.702444,1261
0.078273,1262
0.082487,1263
0.089021,1264
0.083135,1265
0.087876,1266
0.080844,1267
0.080055,1268
0.079767,1269
0.082153,1270
0.081111,1271
0.079822,1272
0.084809,1273
0.081291,1274
0.083801,1275
0.083392,1276
0.084665,1277
0.088850,1278
0.082369,1279
0.087999,1280
0.082330,1281
0.082542,1282
0.085795,1283
0.083018,1284
0.082026,1285
0.084782,1286
0.082917,1287
0.084559,1288
0.081872,1289
0.083096,1290
0.084845,1291
0.081701,1292
0.081178,1293
0.082218,1294
0.083349,1295
0.084983,1296
0.086093,1297
0.085021,1298
0.092080,1299
0.089024,1300
0.089725,1301
0.089858,1302
0.086453,1303
0.088317,1304
0.088802,1305
0.088092,1306
0.083019,1307
0.082551,1308
0.082964,1309
0.083272,1310
0.096430,1311
0.097201,1312
0.095551,1313
0.097156,1314
0.087866,1315
0.086540,1316
0.091828,1317
0.087484,1318
0.086961,1319
0.087450,1320
0.088073,1321
0.090364,1322
0.084865,1323
0.086996,1324
0.085606,1325
0.085639,1326
0.094153,1327
0.098796,1328
0.096501,1329
0.095464,1330
0.090727,1331
0.090687,1332
0.094110,1333
0.090402,1334
0.092789,1335
0.091481,1336
0.098054,1337
0.093665,1338
0.091439,1339
0.089456,1340
0.091222,1341
0.089482,1342
0.092873,1343
0.092930,1344
0.093509,1345
0.094299,1346
0.094170,1347
0.090909,1348
0.093343,1349
0.095530,1350
0.091585,1351
0.091738,1352
0.091531,1353
0.094021,1354
0.094405,1355
0.093136,1356
0.088902,1357
0.089038,1358
0.104141,1359
0.107352,1360
0.105554,1361
0.104857,1362
0.098585,1363
0.102205,1364
0.102694,1365
0.099379,1366
0.094199,1367
0.095621,1368
0.093200,1369
0.096029,1370
0.093839,1371
0.091039,1372
0.091943,1373
0.091296,1374
0.098734,1375
0.097674,1376
0.100794,1377
0.098306,1378
0.095178,1379
0.096029,1380
0.096234,1381
0.095096,1382
0.099816,1383
0.103595,1384
0.101719,1385
0.098008,1386
0.096681,1387
0.093372,1388
0.094395,1389
0.093859,1390
0.104895,1391
0.106974,1392
0.106039,1393
0.107350,1394
0.098235,1395
0.096674,1396
0.097538,1397
0.098228,1398
0.096512,1399
0.098482,1400
0.099511,1401
0.098991,1402
0.270847,1403
0.270340,1404
0.273175,1405
0.272417,1406
0.271303,1407
0.272496,1408
0.395674,1409
0.272023,1410
0.273573,1411
0.274458,1412
0.242012,1413
0.275821,1414
0.272802,1415
0.648783,1416
0.275381,1417
0.274721,1418
0.274410,1419
0.277419,1420
0.274177,1421
0.274509,1422
0.275942,1423
0.285653,1424
0.275153,1425
0.279075,1426
0.111701,1427
0.111321,1428
0.112128,1429
0.112388,1430
0.110327,1431
0.112898,1432
0.116149,1433
0.115307,1434
0.102725,1435
0.102702,1436
0.102078,1437
0.104941,1438
0.104994,1439
0.103801,1440
0.105232,1441
0.102682,1442
0.103442,1443
0.103799,1444
0.104246,1445
0.103861,1446
0.110072,1447
0.115854,1448
0.105734,1449
0.105917,1450
0.101816,1451
0.101849,1452
0.102489,1453
0.129144,1454
0.108186,1455
0.110002,1456
0.109440,1457
0.110063,1458
0.118055,1459
0.125968,1460
0.301931,1461
0.302820,1462
0.293468,1463
0.292473,1464
0.264822,1465
0.297589,1466
0.295980,1467
0.290113,1468
0.265912,1469
0.297849,1470
0.291197,1471
0.295914,1472
0.301183,1473
0.299958,1474
0.306826,1475
0.306943,1476
0.306318,1477
0.308303,1478
0.826448,1479
0.301559,1480
0.301924,1481
0.301853,1482
1.102371,1483
0.524298,1484
1.010454,1485
0.108342,1486
0.111845,1487
0.112266,1488
0.110480,1489
0.111803,1490
0.117325,1491
0.118187,1492
0.121201,1493
0.117480,1494
0.113741,1495
0.306704,1496
0.926007,1497
0.306472,1498
0.307016,1499
0.306693,1500
0.973791,1501
0.307287,1502
0.367002,1503
0.315056,1504
0.114756,1505
0.118205,1506
0.115567,1507
0.115318,1508
0.115438,1509
0.116040,1510
0.112894,1511
0.114986,1512
0.115123,1513
0.116500,1514
0.111937,1515
0.111560,1516
0.111764,1517
0.115235,1518
0.114615,1519
0.116393,1520
0.116688,1521
0.116179,1522
0.118330,1523
0.113567,1524
0.113386,1525
0.113757,1526
0.122325,1527
0.129459,1528
0.155834,1529
0.308829,1530
0.364872,1531
0.327212,1532
0.337807,1533
0.338391,1534
0.330579,1535
