Time,Dimensions
0.092692,1024
0.082160,1025
0.074909,1026
0.070482,1027
0.071023,1028
0.070887,1029
0.072624,1030
0.069078,1031
0.070445,1032
0.069479,1033
0.069651,1034
0.068404,1035
0.072146,1036
0.068746,1037
0.069017,1038
0.070314,1039
0.069909,1040
0.071411,1041
0.070313,1042
0.069565,1043
0.070414,1044
0.071272,1045
0.071390,1046
0.075972,1047
0.074874,1048
0.071343,1049
0.071123,1050
0.071477,1051
0.070785,1052
0.070407,1053
0.070615,1054
0.071803,1055
0.073562,1056
0.073658,1057
0.072951,1058
0.083695,1059
0.074662,1060
0.078206,1061
0.112290,1062
0.077030,1063
0.077771,1064
0.080208,1065
0.094740,1066
0.073129,1067
0.074120,1068
0.073716,1069
0.107859,1070
0.077074,1071
0.074670,1072
0.089644,1073
0.074557,1074
0.077635,1075
0.099965,1076
0.086078,1077
0.074398,1078
0.076302,1079
0.076696,1080
0.086487,1081
0.082574,1082
0.110878,1083
0.083499,1084
0.165056,1085
0.179626,1086
0.091509,1087
0.077181,1088
0.080596,1089
0.139992,1090
0.078114,1091
0.091638,1092
0.079876,1093
0.100343,1094
0.103319,1095
0.086683,1096
0.115756,1097
0.097795,1098
0.105563,1099
0.088482,1100
0.104832,1101
0.083010,1102
0.083360,1103
0.081010,1104
0.084637,1105
0.086235,1106
0.083214,1107
0.079076,1108
0.080759,1109
0.084507,1110
0.080844,1111
0.080710,1112
0.081163,1113
0.082155,1114
0.080405,1115
0.080275,1116
0.080281,1117
0.081331,1118
0.081577,1119
0.081666,1120
0.082044,1121
0.081459,1122
0.086007,1123
0.097961,1124
0.086441,1125
0.084868,1126
0.083028,1127
0.085055,1128
0.084365,1129
0.085527,1130
0.082207,1131
0.081769,1132
0.087807,1133
0.081975,1134
0.084580,1135
0.083738,1136
0.084882,1137
0.084283,1138
0.088503,1139
0.087983,1140
0.089678,1141
0.089014,1142
0.085172,1143
0.086052,1144
0.085923,1145
0.085901,1146
0.087480,1147
0.087332,1148
0.087717,1149
0.087619,1150
0.091272,1151
0.091781,1152
0.099755,1153
0.099372,1154
0.096696,1155
0.090353,1156
0.090765,1157
0.090777,1158
0.089247,1159
0.088081,1160
0.088546,1161
0.094507,1162
0.087166,1163
0.086729,1164
0.086722,1165
0.092277,1166
0.088537,1167
0.089097,1168
0.089392,1169
0.089829,1170
0.093004,1171
0.092175,1172
0.091959,1173
0.092272,1174
0.094020,1175
0.094952,1176
0.107561,1177
0.104355,1178
0.090060,1179
0.089934,1180
0.091982,1181
0.090007,1182
0.095416,1183
0.108299,1184
0.097000,1185
0.097201,1186
0.092828,1187
0.092077,1188
0.090979,1189
0.093184,1190
0.092719,1191
0.105312,1192
0.093257,1193
0.109999,1194
0.093906,1195
0.097234,1196
0.096982,1197
0.097557,1198
0.095693,1199
0.095543,1200
0.096379,1201
0.094341,1202
0.097985,1203
0.097982,1204
0.099407,1205
0.098644,1206
0.095780,1207
0.097081,1208
0.095524,1209
0.102787,1210
0.100032,1211
0.096074,1212
0.097028,1213
0.100644,1214
0.102033,1215
0.097251,1216
0.105888,1217
0.114220,1218
0.100240,1219
0.097620,1220
0.097678,1221
0.096327,1222
0.105604,1223
0.104102,1224
0.102706,1225
0.101177,1226
0.097222,1227
0.096761,1228
0.098588,1229
0.097013,1230
0.100506,1231
0.099366,1232
0.099823,1233
0.099630,1234
0.097817,1235
0.099807,1236
0.097955,1237
0.098426,1238
0.101198,1239
0.105562,1240
0.102115,1241
0.102685,1242
0.099174,1243
0.099943,1244
0.100033,1245
0.100268,1246
0.101945,1247
0.101328,1248
0.101421,1249
0.102988,1250
0.101715,1251
0.103909,1252
0.103239,1253
0.103745,1254
0.102508,1255
0.101567,1256
0.102673,1257
0.105018,1258
0.102123,1259
0.101481,1260
0.107994,1261
0.102040,1262
0.110034,1263
0.107206,1264
0.107199,1265
0.107845,1266
0.104387,1267
0.106538,1268
0.108816,1269
0.105365,1270
0.107143,1271
0.105160,1272
0.106882,1273
0.105947,1274
0.111952,1275
0.112825,1276
0.111850,1277
0.117756,1278
0.106221,1279
0.107088,1280
0.107321,1281
0.107489,1282
0.117123,1283
0.110982,1284
0.115161,1285
0.114273,1286
0.109499,1287
0.108037,1288
0.108082,1289
0.107703,1290
0.109218,1291
0.112367,1292
0.106961,1293
0.108770,1294
0.111121,1295
0.111365,1296
0.114657,1297
0.111747,1298
0.110667,1299
0.113718,1300
0.111061,1301
0.111571,1302
0.111044,1303
0.110919,1304
0.110572,1305
0.110916,1306
0.109543,1307
0.109713,1308
0.113786,1309
0.110512,1310
0.123618,1311
0.126796,1312
0.124188,1313
0.124512,1314
0.111288,1315
0.113038,1316
0.115332,1317
0.112218,1318
0.129115,1319
0.124431,1320
0.129817,1321
0.125183,1322
0.114062,1323
0.112326,1324
0.112220,1325
0.113347,1326
0.121287,1327
0.120894,1328
0.121167,1329
0.122519,1330
0.116085,1331
0.114836,1332
0.115337,1333
0.116386,1334
0.116262,1335
0.119863,1336
0.116537,1337
0.119561,1338
0.118970,1339
0.117990,1340
0.118840,1341
0.119162,1342
0.119043,1343
0.117239,1344
0.118368,1345
0.117889,1346
0.127915,1347
0.123218,1348
0.123744,1349
0.123523,1350
0.124373,1351
0.165601,1352
0.123600,1353
0.125026,1354
0.116893,1355
0.121717,1356
0.118641,1357
0.117971,1358
0.123320,1359
0.120710,1360
0.124191,1361
0.124908,1362
0.122893,1363
0.122236,1364
0.120320,1365
0.119401,1366
0.127820,1367
0.123697,1368
0.126641,1369
0.124563,1370
0.122459,1371
0.121281,1372
0.121762,1373
